utterance,loglikelihood
words-BABEL-BP-101-59454-20111117-203722-outLine-292-15-299-39,-50.94043055555555
words-BABEL-BP-101-59454-20111117-203722-outLine-299-39-304-08,-50.33469565217392
words-BABEL-BP-101-59454-20111117-203722-outLine-304-08-312-12,-33.908137499999995
words-BABEL-BP-101-59454-20111117-203722-outLine-312-12-321-07,-43.197516853932584
words-BABEL-BP-101-59454-20111117-203722-outLine-329-61-338-18,-30.92684705882353
words-BABEL-BP-101-59454-20111117-203722-outLine-338-18-346-47,-42.8100243902439
words-BABEL-BP-101-59454-20111117-203722-outLine-346-47-357-22,-37.455289719626165
words-BABEL-BP-101-59454-20111117-203722-outLine-357-22-366-22,-27.933033333333334
words-BABEL-BP-101-59454-20111117-203722-outLine-366-22-371-07,-32.303125
words-BABEL-BP-101-59454-20111117-203722-outLine-371-07-376-16,-47.73622
words-BABEL-BP-101-59454-20111117-203722-outLine-376-16-383-76,-49.85577333333333
words-BABEL-BP-101-59454-20111117-203722-outLine-383-76-389-85,-38.31728333333333
words-BABEL-BP-101-59454-20111117-203722-outLine-389-85-398-35,-38.6867294117647
words-BABEL-BP-101-59454-20111117-203722-outLine-398-35-403-79,-40.05003703703704
words-BABEL-BP-101-59454-20111117-203722-outLine-403-79-410-48,-37.39784848484848
words-BABEL-BP-101-59454-20111117-203722-outLine-410-48-417-72,-36.444041666666664
words-BABEL-BP-101-59454-20111117-203722-outLine-417-72-430-78,-48.34814615384615
words-BABEL-BP-101-59454-20111117-203722-outLine-430-78-437-1,-40.35307936507937
words-BABEL-BP-101-59454-20111117-203722-outLine-437-1-444-89,-34.61272727272727
words-BABEL-BP-101-59454-20111117-203722-outLine-444-89-447-96,-54.483266666666665
words-BABEL-BP-101-59454-20111117-203722-outLine-447-96-454-99,-50.81072857142858
words-BABEL-BP-101-59454-20111117-203722-outLine-454-99-461-74,-37.07335820895522
words-BABEL-BP-101-59454-20111117-203722-outLine-467-87-474-04,-28.770967213114755
