utterance,loglikelihood
words-BABEL-BP-101-93454-20111027-011311-S7-scripted,-63.6043253968254
words-BABEL-BP-101-29302-20111023-165023-S1-scripted,-55.908944444444444
words-BABEL-BP-101-75243-20111204-175722-L2-scripted,-53.159412499999995
words-BABEL-BP-101-82217-20111115-190418-I1-scripted,-47.44653846153846
words-BABEL-BP-101-32710-20111119-125209-C1-scripted,-52.93472727272727
words-BABEL-BP-101-31393-20111018-151800-C2-scripted,-57.65639705882353
words-BABEL-BP-101-22910-20111028-183848-S3-scripted,-59.3597619047619
words-BABEL-BP-101-74884-20111030-141246-A1-scripted,-50.33017142857143
